tag,des,des_2
DB00656,"Trazodone is triazolopyridine derivative from the serotonin receptor antagonists and reuptake inhibitors (SARIs) class of antidepressants.[A181180] It is used in adults and has been shown to be comparable in efficacy to other drugs such as tricyclic antidepressants (TCAs), selective serotonin reuptake inhibitors (SSRIs), and serotonin-norepinephrine receptor inhibitor (SNRIs) in the treatment of depression.[T646] A unique feature of this drug is that it does not promote the anxiety symptoms, sexual symptoms, or insomnia, which are commonly associated with SSRI and SNRI therapy.[T646] Trazodone acts on various receptors, including certain histamine, serotonin, and adrenergic receptors, distinguishing it from other antidepressants that cover a narrow range of neurotransmitters.[T646] It was initially granted FDA approval in 1981.[L3484]","Trazodone is indicated for the treatment of major depressive disorder (MDD).[L3484] It has been used off-label for adjunct therapy in alcohol dependence, and off-label to treat anxiety and insomnia.[L3484] It may also be used off-label to treat symptoms of dementia, Alzheimer¡¯s disease, schizophrenia, eating disorders, and fibromyalgia due to its effects on various neurotransmitter receptors.[A31634]"
DB00657,"A nicotinic antagonist that is well absorbed from the gastrointestinal tract and crosses the blood-brain barrier. Mecamylamine has been used as a ganglionic blocker in treating hypertension, but, like most ganglionic blockers, is more often used now as a research tool.",For the treatment of moderately severe to severe essential hypertension and in uncomplicated cases of malignant hypertension
DB00658,Sevelamer is a phosphate binding drug used to prevent hyperphosphataemia in patients with chronic renal failure. It is marketed by Genzyme under the trade name Renagel.,For the control of serum phosphorus in patients with Chronic Kidney Disease (CKD) on hemodialysis.
DB00659,"trade;, is a drug used for treating alcohol dependence. Acamprosate is thought to stabilize the chemical balance in the brain that would otherwise be disrupted by alcoholism, possibly by blocking glutaminergic N-methyl-D-aspartate receptors, while gamma-aminobutyric acid type A receptors are activated. Reports indicate that acamprosate only works with a combination of attending support groups and abstinence from alcohol. Certain serious side effects include allergic reactions, irregular heartbeats, and low or high blood pressure, while less serious side effects include headaches, insomnia, and impotence. Acamprosate should not be taken by people with kidney problems or allergies to the drug.",For the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation
DB00660,"Metaxalone is a moderate to strong muscle relaxant used in the symptomatic treatment of musculoskeletal pain caused by strains, sprains, and other musculoskeletal conditions. It is marketed by King Pharmaceuticals under the brand name Skelaxin?. Its main mechanism of action is thought to involve general central nervous system depression. Metaxalone is associated with few side effects and is available as a 800 mg scored tablet.",For the treatment of painful peripheral musculoskeletal conditions and spasticity from upper motor neuron syndromes.
DB00661,"Verapamil is a phenylalkylamine calcium channel blocker used in the treatment of high blood pressure, heart arrhythmias, and angina,[L8791] and was the first calcium channel antagonist to be introduced into therapy in the early 1960s.[A188514] It is a member of the non-dihydropyridine class of calcium channel blockers, which includes drugs like [diltiazem] and [flunarizine], but is chemically unrelated to other cardioactive medications.[L8791] Verapamil is administered as a racemic mixture containing equal amounts of the S- and R-enantiomer, each of which is pharmacologically distinct - the S-enantiomer carries approximately 20-fold greater potency than the R-enantiomer, but is metabolized at a higher rate.[A188435]",Verapamil is commonly used off-label for prophylaxis of cluster headaches.[A13983]
DB00662,"Trimethobenzamide is a novel antiemetic which prevents nausea and vomiting in humans. Its actions are unclear but most likely involves the chemoreceptor trigger zone (CTZ). In dogs pretreated with trimethobenzamide HCl, the emetic response to apomorphine is inhibited, while little or no protection is afforded against emesis induced by intragastric copper sulfate.",For the treatment of postoperative nausea and vomiting and for nausea associated with gastroenteritis.
DB00663,"Flumethasone is a moderately potent difluorinated corticosteroid ester with anti-inflammatory, antipruritic and vasoconstrictive properties. As it is a privalate salt, its anti-inflammatory action is concentrated at the site of application. This local effect on diseased areas results in a prompt decrease in inflammation, exudation and itching.","For the treatment of contact dermatitis, atopic dermatitis, exczema, psoriasis, diaper rash and other skin conditions"
DB00664,Long-acting plasma-bound sulfonamide used for respiratory and urinary tract infections and also for malaria.,For the treatment of urinary tract infection and chronic bronchitis.
DB00665,"Nilutamide is an antineoplastic hormonal agent primarily used in the treatment of prostate cancer. Nilutamide is a pure, nonsteroidal anti-androgen with affinity for androgen receptors (but not for progestogen, estrogen, or glucocorticoid receptors). Consequently, Nilutamide blocks the action of androgens of adrenal and testicular origin that stimulate the growth of normal and malignant prostatic tissue. Prostate cancer is mostly androgen-dependent and can be treated with surgical or chemical castration. To date, antiandrogen monotherapy has not consistently been shown to be equivalent to castration.","For use in combination with surgical castration for the treatment of metastatic prostate cancer involving distant lymph nodes, bone, or visceral organs (Stage D2)."
DB00666,A potent synthetic agonist of gonadotropin-releasing hormone with 3-(2-naphthyl)-D-alanine substitution at residue 6. Nafarelin has been used in the treatments of central precocious puberty and endometriosis. [PubChem],"For treatment of central precocious puberty (true precocious puberty, GnRH-dependent precocious precocity, complete isosexual precocity) in children of both sexes and for the treatment of endometriosis."
DB00668,"In general, the most common uses of parenteral epinephrine are to relieve respiratory distress due to bronchospasm, to provide rapid relief of hypersensitivity (anaphylactic or anaphylactoid) reactions to drugs, animal serums and other allergens, and to prolong the action of infiltration anesthetics [F2136]. In addition to the above functions, epinephrine is the primary drug administered during cardiopulmonary resuscitation (CPR) to reverse cardiac arrest [A37697], [A37699].  It can be used in severe cases of croup [L4824].","In addition to the above, epinephrine is used as an over the counter (OTC) agent for the intermittent symptoms of asthma, such as wheezing, tightness of chest and shortness of breath [F2131].  It is also used for the maintenance of mydriasis during intraocular surgery [L4825]."
DB00669,"Sumatriptan is a serotonin receptor agonist commonly used to treat migraines and sometimes cluster headaches.[L6793,L6796,L6799,L6805,L6808,L6811] Sumatriptan is the first of the triptans and was made available in Europe in 1991 to treat migraines.[A179761] Sumatriptan was granted FDA approval on 28 December 1992.[L6805]","A combination sumatriptan and [naproxen] tablet is indicated for the treatment of migraines with or without auras in patients 12 years of age and older.[L6793] Sumatriptan nasal powder, nasal spray, subcutaneous injection, and tablets are indicated to treat migraines with or without auras in adults.[L6796,L6799,L6805,L6808,L6811] One of the subcutaneous formulations of sumatriptan is also indicated to treat cluster headaches in adults[L6805], while the other subcutaneous formulation is not.[L6808]"
DB00670,"An antimuscarinic agent that inhibits gastric secretion at lower doses than are required to affect gastrointestinal motility, salivary, central nervous system, cardiovascular, ocular, and urinary function. It promotes the healing of duodenal ulcers and due to its cytoprotective action is beneficial in the prevention of duodenal ulcer recurrence. It also potentiates the effect of other antiulcer agents such as cimetidine and ranitidine. It is generally well tolerated by patients.","For the treatment of peptic ulcer, gastric ulcer, and duodenal ulcer."
DB00671,"Cefixime, an antibiotic, is a third-generation cephalosporin like ceftriaxone and cefotaxime. Cefixime is highly stable in the presence of beta-lactamase enzymes. As a result, many organisms resistant to penicillins and some cephalosporins due to the presence of beta-lactamases, may be susceptible to cefixime. The antibacterial effect of cefixime results from inhibition of mucopeptide synthesis in the bacterial cell wall.", (penicillinase- and non-penicillinase-producing strains).
DB00672,"Chlorpropamide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the sulfonylurea class of insulin secretagogues, which act by stimulating ¦Â cells of the pancreas to release insulin. Sulfonylureas increase both basal insulin secretion and meal-stimulated insulin release. Medications in this class differ in their dose, rate of absorption, duration of action, route of elimination and binding site on their target pancreatic ¦Â cell receptor. Sulfonylureas also increase peripheral glucose utilization, decrease hepatic gluconeogenesis and may increase the number and sensitivity of insulin receptors. Sulfonylureas are associated with weight gain, though less so than insulin. Due to their mechanism of action, sulfonylureas may cause hypoglycemia and require consistent food intake to decrease this risk. The risk of hypoglycemia is increased in elderly, debilitated and malnourished individuals. Chlorpropamide is not recommended for the treatment of NIDDM as it increases blood pressure and the risk of retinopathy (UKPDS-33). Up to 80% of the single oral dose of chlorpropramide is metabolized, likely in the liver; 80-90% of the dose is excreted in urine as unchanged drug and metabolites. Renal and hepatic dysfunction may increase the risk of hypoglycemia.",For treatment of NIDDM in conjunction with diet and exercise. 
DB00673,"Aprepitant, an antiemetic, is a substance P/neurokinin 1 (NK1) receptor antagonist which, in combination with other antiemetic agents, is indicated for the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy. Aprepitant is a selective high-affinity antagonist of human substance P/neurokinin 1 (NK1) receptors. Aprepitant has little or no affinity for serotonin (5-HT3), dopamine, and corticosteroid receptors, the targets of existing therapies for chemotherapy-induced nausea and vomiting (CI NV).","For the prevention of nausea and vomiting associated with highly emetogenic cancer chemotherapy, including high-dose cisplatin (in combination with other antiemetic agents)."
DB00674,"A benzazepine derived from norbelladine. It is found in galanthus and other amaryllidaceae. Galantamine is a cholinesterase inhibitor that has been used to reverse the muscular effects of gallamine triethiodide and tubocurarine, and has been studied as a treatment for Alzheimer's disease and other central nervous system disorders.",For the treatment of mild to moderate dementia of the Alzheimer's type. Has also been investigated in patients with mild cognitive impairment who did not meet the diagnostic criteria for Alzheimer's disease.
DB00675,Tamoxifen was granted FDA approval on 30 December 1977.[L7799],"Tamoxifen is indicated to treat estrogen receptor positive metastatic breast cancer in adults, as an adjuvant in the treatment of early stage estrogen receptor positive breast cancer in adults, to reduce the risk of invasive breast cancer after surgery and radiation in adult women with ductal carcinoma in situ.[L7802]"
DB00676,"Benzyl benzoate is one of the older preparations used to treat scabies. Scabies is a skin infection caused by the mite sarcoptes scabiei. It is characterised by severe itching (particularly at night), red spots, and may lead to a secondary infection. Benzyl benzoate is lethal to this mite and so is useful in the treatment of scabies. It is also used to treat lice infestation of the head and body. Benzyl benzoate is not the treatment of choice for scabies due to its irritant properties.",Used to kill lice and the mites responsible for the skin condition scabies.
DB00677,"An irreversible cholinesterase inhibitor with actions similar to those of echothiophate. It is a powerful miotic used mainly in the treatment of glaucoma. Its vapor is highly toxic and it is recommended that only solutions in arachis oil be used therapeutically. (From Martindale, The Extra Pharmacopoeia, 29th ed, p1330)","For use in the eye to treat certain types of glaucoma and other eye conditions, such as accommodative esotropia."
DB00678,"Losartan is an angiotensin II receptor blocker (ARB) used to treat hypertension.[L7423] Angiotensin-converting enzyme (ACE) inhibitors are used for a similar indication but are associated with a cough.[L7423] When patients with ACE inhibitor associated coughs are switched to ARBs like losartan, they have an incidence of cough similar to placebo or [hydrochlorothiazide].[L7423] Losartan is available as losartan potassium oral tablets as well as a combination tablet of losartan potassium and hydrochlorothiazide.[L7423,L7426] Patients taking losartan should have their renal function and potassium levels monitored.[L7423] Losartan was granted FDA approval on 14 April 1995.[L7423]","Losartan is indicated to treat hypertension in patients older than 6 years, reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy (though this benefit may not extend to patients with African heritage), and to treat diabetic nephropathy with elevated serum creatinine and proteinuria in patients with type 2 diabetes and hypertension.[L7423] Losartan with hydrochlorothiazide is indicated to treat hypertension and to reduce the risk of stroke in patients with hypertension and left ventricular hypertrophy (though this benefit may not extend to patients with African heritage).[L7426]"
DB00679,Thioridazine was withdrawn worldwide in 2005 due to it's association with cardiac arrythmias.,For the treatment of schizophrenia and generalized anxiety disorder.
DB00680,An antiarrhythmia agent used primarily for ventricular rhythm disturbances.,Used to treat irregular heartbeats (arrhythmias) and maintain a normal heart rate.
DB00681,"Amphotericin B shows a high order of in vitro activity against many species of fungi. Histoplasma capsulatum, Coccidioides immitis, Candida species, Blastomyces dermatitidis, Rhodotorula, Cryptococcus neoformans, Sporothrix schenckii, Mucor mucedo, and Aspergillus fumigatus are all inhibited by concentrations of amphotericin B ranging from 0.03 to 1.0 mcg/mL in vitro. While Candida albicans is generally quite susceptible to amphotericin B, non-albicans species may be less susceptible. Pseudallescheria boydii and Fusarium sp. are often resistant to amphotericin B. The antibiotic is without effect on bacteria, rickettsiae, and viruses.",Used to treat potentially life threatening fungal infections.
DB00682,"Warfarin is an anticoagulant drug normally used to prevent blood clot formation as well as migration. Although originally marketed as a pesticide (d-Con, Rodex, among others), Warfarin has since become the most frequently prescribed oral anticoagulant in North America. Warfarin has several properties that should be noted when used medicinally, including its ability to cross the placental barrier during pregnancy which can result in fetal bleeding, spontaneous abortion, preterm birth, stillbirth, and neonatal death. Additional adverse effects such as necrosis, purple toe syndrome, osteoporosis, valve and artery calcification, and drug interactions have also been documented with warfarin use. Warfarin does not actually affect blood viscosity, rather, it inhibits vitamin-k dependent synthesis of biologically active forms of various clotting factors in addition to several regulatory factors.",1) Secondary prevention of stroke and transient ischemic attacks in patients with rheumatic mitral valve disease but without atrial fibrillation.[A179182]
DB00683,"This drug was initially approved by the US FDA in 1985, and has been approved for various indications since.[FDA label] In late 2018, the intramuscular preparation was approved by the FDA for the treatment of status epilepticus in adults.[FDA label] In May 2019, the nasal spray of midazolam was approved for the acute treatment of distinctive intermittent, stereotypic seizure episodes in patients 12 years of age and older. Midazolam is considered a schedule IV drug in the United States due to the low potential for abuse and low risk of dependence.[L5074]","Indicated for the acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient¡¯s usual seizure pattern in patients with epilepsy 12 years of age and older.[L6559]"
DB00684,"An aminoglycoside, broad-spectrum antibiotic produced by Streptomyces tenebrarius. It is effective against gram-negative bacteria, especially the pseudomonas species. It is a 10% component of the antibiotic complex, nebramycin, produced by the same species.",For the treatment of pseudomonas aeruginosa lung infections. Also being investigated for use in the treatment of sinus infections.
DB00685,"Trovafloxacin is a broad spectrum antibiotic that has been commonly marketed under the brand name Trovan by Pfizer. It exerts its antibacterial activity by inhibiting the uncoiling of supercoiled DNA in various bacteria by blocking the activity of DNA gyrase and topoisomerase IV. It was shown to be more effective against Gram-positive bacteria than Gram-negative bacteria when compared to previous fluoroquinolones. Due to its hepatotoxic potential, trovafloxacin was withdrawn from the market.",.
DB00686,Pentosan polysulfate is a sulfated pentosyl polysaccharide with heparin-like properties.,For the relief of bladder pain or discomfort associated with interstitial cystitis.
DB00687,"Fludrocortisone is a synthetic mineralocorticoid used in conjunction with [hydrocortisone] to replace missing endogenous corticosteroids in patients with adrenal insufficiency.[A187169,A187187] It is functionally similar to [aldosterone], the body's primary endogenous mineralocorticoid, and is structurally analogous to [cortisol], differing only by a fluorine atom at the 9-position of the steroid structure - this fluorination is thought to be crucial to fludrocortisone's significant mineralocorticoid potency.[A5423]",Fludrocortisone is indicated as partial replacement therapy for primary or secondary adrenocortical insufficiency in Addison's disease. It is also indicated for the treatment of salt-losing androgenital syndrome.[L8971]
DB00688,"Previously, mycophenolic acid (MPA) was administered to individuals with autoimmune diseases beginning in the 1970s, but was discontinued due to gastrointestinal effects and concerns over carcinogenicity.[A180826] The new semi-synthetic 2-morpholinoethyl ester of MPA was synthesized to avoid the gastrointestinal effects associated with the administration of MPA. It demonstrates an increased bioavailability, a higher efficacy, and reduced gastrointestinal effects when compared to MPA.[A180826]","Mycophenolate mofetil is indicated for the prophylaxis of organ rejection in patients undergoing allogeneic renal, hepatic, or cardiac transplants. It should be used with cyclosporine and corticosteroids.[L7363] Mycophenolate mofetil may also be used off-label as a second-line treatment for autoimmune hepatitis that has not responded adequately to first-line therapy.[A180814] Other off-label uses of this drug include lupus-associated nephritis and dermatitis in children.[A180817]"
DB00689,A cephalorsporin antibiotic that is no longer commonly used.,For treatment of severe infections caused by susceptible bacteria.
DB00690,A benzodiazepine derivative used mainly as a hypnotic.,For short-term and intermittent use in patients with recurring insomnia and poor sleeping habits
DB00691,"Moexipril is a non-sulfhydryl containing precursor of the active angiotensin-converting enzyme (ACE) inhibitor moexiprilat. It is used to treat high blood pressure (hypertension). It works by relaxing blood vessels, causing them to widen. Lowering high blood pressure helps prevent strokes, heart attacks and kidney problems.",For the treatment of hypertension.
DB00692,"A nonselective alpha-adrenergic antagonist. It is used in the treatment of hypertension and hypertensive emergencies, pheochromocytoma, vasospasm of raynaud disease and frostbite, clonidine withdrawal syndrome, impotence, and peripheral vascular disease.","Used as an aid for the diagnosis of pheochromocytoma, and may be administered immediately prior to or during pheochromocytomectomy to prevent or control paroxysmal hypertension resulting from anesthesia, stress, or operative manipulation of the tumor. Phentolamine has also been used to treat hypertensive crisis caused by sympathomimetic amines or catecholamine excess by certain foods or drugs in patients taking MAO inhibitors, or by clonidine withdrawal syndrome. Other indications include the prevention of dermal necrosis and sloughing following IV administration or extravasation of norepinephrine, decrease in impedance to left ventricular ejection and the infarct size in patients with MI associated with left ventricular failure, treatment of erectile dysfunction through self-injection of small doses combined with papaverine hydrochloride into the corpus cavernosum, and as an adjunct to the management of cocaine overdose to reverse coronary vasoconstriction following use of oxygen, benzodiazepines,and nitroglycerin. "
DB00693,"A phthalic indicator dye that appears yellow-green in normal tear film and bright green in a more alkaline medium, such as the aqueous humor, and is used therapeutically as a diagnostic aid in corneal injuries and corneal trauma. It has been approved by FDA for use in externally applied drugs and cosmetics. (From Merck Index, 12th ed; American Medical Association Drug Evaluations; 1995, p2275)",For diagnostic imaging. Primarily indicated in diagnostic fluorescein angiography or angioscopy of the fundus and of the iris vasculature.
DB00694,"A very toxic anthracycline aminoglycoside antineoplastic isolated from Streptomyces peucetius and others, used in treatment of leukemia and other neoplasms.","For remission induction in acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of adults and for remission induction in acute lymphocytic leukemia of children and adults."
DB00695,"Furosemide is a potent loop diuretic that acts on the kidneys to ultimately increase water loss from the body. It is an anthranilic acid derivative.[L7958] Furosemide is used for edema secondary to various clinical conditions, such as congestive heart failure exacerbation, liver failure, renal failure, and high blood pressure.[L7961] It mainly works by inhibiting electrolyte reabsorption from the kidneys and enhancing the excretion of water from the body. Furosemide has a fast onset and short duration of action and has been used safely and effectively in both pediatric and adult patients.[A182495] The use of furosemide is particularly beneficial in clinical settings that require a drug with a higher diuretic potential. In addition to oral formulations, the solution for intravenous and intramuscular administration is also available, which is typically limited to patients who are unable to take oral medication or for patients in emergency clinical situations.[L7958]",Intravenous furosemide is indicated as adjunctive therapy in acute pulmonary edema when a rapid onset of diuresis is desired.[L7958]
DB00696,A vasoconstrictor found in ergot of Central Europe. It is an alpha-1 selective adrenergic agonist and is commonly used in the treatment of migraine disorders.,"For use as therapy to abort or prevent vascular headache, e.g., migraine, migraine variants, or so called ""histaminic cephalalgia""."
DB00697,"Initially approved by the FDA in 1996, tizanidine is an Alpha-2 adrenergic receptor agonist reducing spasticity by the presynaptic inhibition of excitatory neurotransmitters that cause firing of neurons promoting muscle spasm [FDA label].","Tizanidine is indicated for the relief of muscle spasticity, which can interfere with daily activities.  The general recommendation is to reserve tizanidine use for periods of time when there is a particular need for relief, as it has a short duration of action [FDA label, F4471]. "
DB00698,Nitrofurantoin was granted FDA approval on 6 February 1953.[L6895],"Nitrofurantoin is indicated to treat acute uncomplicated urinary tract infections.[L6856,L6859,L6862]"
DB00699,An ergot derivative that has been used as a cerebral vasodilator and in peripheral vascular disease. It has been suggested to ameliorate cognitive deficits in cerebrovascular disease.,"For the treatment of senile dementia, migraines of vascular origin, transient ischemia, platelet hyper-aggregability, and macular degeneration."
DB00700,"Eplerenone, an aldosterone receptor antagonist similar to spironolactone, has been shown to produce sustained increases in plasma renin and serum aldosterone, consistent with inhibition of the negative regulatory feedback of aldosterone on renin secretion. The resulting increased plasma renin activity and aldosterone circulating levels do not overcome the effects of eplerenone. Eplerenone selectively binds to recombinant human mineralocorticoid receptors relative to its binding to recombinant human glucocorticoid, progesterone and androgen receptors.",40%) and clinical evidence of congestive heart failure after an acute myocardial infarction.
DB00701,Amprenavir is a protease inhibitor used to treat HIV infection.,For the treatment of HIV-1 infection in combination with other antiretroviral agents.
DB00702,Icodextrin is an iso-osmotic peritoneal dialysis solution containing glucose polymers. It is used primarily for ambulatory peritoneal dialysis (CAPD) of diabetic patients and automated peritoneal dialysis (APD) for patients with end-stage renal disease. It is injected as a solution into the peritoneal cavity. The drug is absorbed via convective transport via peritoneal lymphatic pathways.,Used for continuous ambulatory peritoneal dialysis (CAPD) of diabetic patients or automated peritoneal dialysis (APD) for the management of end-stage renal disease.
DB00703,A carbonic anhydrase inhibitor that is used as a diuretic and in the treatment of glaucoma. [PubChem],For treatment of chronic open-angle glaucoma and acute angle-closure glaucoma
DB00704,"Derivative of noroxymorphone that is the N-cyclopropylmethyl congener of naloxone. It is a narcotic antagonist that is effective orally, longer lasting and more potent than naloxone, and has been proposed for the treatment of heroin addiction. The FDA has approved naltrexone for the treatment of alcohol dependence.",Used as an adjunct to a medically supervised behaviour modification program in the maintenance of opiate cessation in individuals who were formerly physically dependent on opiates and who have successfully undergone detoxification. Also used for the management of alcohol dependence in conjunction with a behavioural modification program.
DB00705,"A potent, non-nucleoside reverse transcriptase inhibitor with activity specific for HIV-1.",For the treatment of HIV-1 infection in combination with appropriate antiretroviral agents when therapy is warranted
DB00706,"Tamsulosin was first approved by the FDA on April 15, 1997.[L6238]","Tamsulosin is also used off label for the treatment of ureteral stones, prostatitis, and female voiding dysfunction.[A178339,L6259]"
DB00707,"The purified component of hematoporphyrin derivative, it consists of a mixture of oligomeric porphyrins. It is used in photodynamic therapy (hematoporphyrin photoradiation); to treat malignant lesions with visible light and experimentally as an antiviral agent. It is the first drug to be approved in the use of photodynamic therapy in the United States.",Indicated in the treatment of esophageal cancer.
DB00708,"This route of administration is intended to be a simple, effective, non-invasive analgesic option to enable healthcare professionals to rapidly manage acute pain without difficult intravenous or epidural administration [L4717], [A39633].",[FDA label]
DB00709,#39; carbon of the pentose ring. It is used to treat Human Immunodeficiency Virus Type 1 (HIV-1) and hepatitis B (HBV).,For the treatment of HIV infection and chronic hepatitis B (HBV).
DB00710,"Ibandronate is a nitrogen-containing bisphosphonate in the same class as alendronate and risedronate. Ibandronate inhibits osteoclast-mediated bone resorption. All of the bisphosphonates prevent the breakdown of bone by bone cells called osteoclasts. In persons who are at high risk for osteoporosis, bisphosphonates not only result in increased amounts of bone and bone strength, they also reduce the risk of hip fractures and other bone fractures.",For the treatment and prevention of osteoporosis in postmenopausal women.
DB00711,"An anthelmintic used primarily as the citrate in the treatment of filariasis, particularly infestations with Wucheria bancrofti or Loa loa.",.
DB00712,"Flurbiprofen, a propionic acid derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with antipyretic and analgesic activity. Oral formulations of flurbiprofen may be used for the symptomatic treatment of rheumatoid arthritis, osteoarthritis and anklylosing spondylitis. Flurbiprofen may also be used topically prior to ocular surgery to prevent or reduce intraoperative miosis. Flurbiprofen is structurally and pharmacologically related to fenoprofen, ibuprofen, and ketoprofen.","Flurbiprofen tablets are indicated for the acute or long-term symptomatic treatment of rheumatoid arthritis, osteorarthritis and anklosing spondylitis. It may also be used to treat pain associated with dysmenorrhea and mild to moderate pain accompanied by inflammation (e.g. bursitis, tendonitis, soft tissue trauma). Topical ophthalmic formulations may be used pre-operatively to prevent intraoperative miosis. "
DB00713,An antibiotic similar to flucloxacillin used in resistant staphylococci infections.,Used in the treatment of resistant staphylococci infections.
DB00714,"A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.","For the acute, intermittent treatment of hypomobility, off episodes (end-of-dose wearing off and unpredictable on/off episodes) associated with advanced Parkinson's disease."
DB00715,"Paroxetine is a selective serotonin reuptake inhibitor (SSRI) drug commonly known as Paxil. It has a variety of uses, including the treatment of anxiety disorders, major depression, posttraumatic stress disorder, and symptoms of menopause, among others.[T653] It was approved by the FDA in the early 1990s and marketed by SmithKline Beecham.[L7712,L7715] A unique feature of this drug is that it is highly potent and selective in its inhibition of serotonin reuptake and has little effect on other neurotransmitters.[A31914] Because of its potent inhibition of serotonin reuptake, paroxetine is more likely to cause withdrawal effects upon cessation. Paroxetine is well tolerated in most patients with a similar adverse effect profile to other members of its drug class.[A31914] The controlled release formulation was designed to decrease the likelihood of nausea that is sometimes associated with paroxetine.[L7700,L7742]","Paroxetine is indicated for the management of depression, obsessive-compulsive disorder, panic disorder, social anxiety disorder, generalized anxiety disorder, posttraumatic stress disorder.[L3358] One form of paroxetine, commercially known as Brisdelle, is used to manage mild to moderate vasomotor symptoms of menopause.[L7703] Off-label, paroxetine may be used for the treatment of premature ejaculation or irritable bowel syndrome (IBS).[A1093,A181754,A181904]"
DB00716,"A pyranoquinolone derivative that inhibits activation of inflammatory cells which are associated with asthma, including eosinophils, neutrophils, macrophages, mast cells, monocytes, and platelets.",For the treatment of mild to moderate asthma
DB00717,"Norethisterone, also known as norethindrone, is a synthetic progestational hormone belonging to the 19-nortestosterone-derived class of progestins.[A10367] It is further classified as a second-generation progestin, along with [levonorgestrel] and its derivatives, and is the active form of several other progestins including [norethynodrel] and [lynestrenol].[A10367] Norethisterone mimics the actions of endogenous [progesterone], albeit with a greater potency,[A188075] and is used on its own or in combination with estrogen derivatives in a variety of applications including contraception and hormone replacement therapy.[L9527,L10301,L10304,L10307] First derived in 1951 in Mexico City, norethisterone was originally intended for use as a remedy for irregular menstruation and endometriosis, and was not marketed for use as an oral contraceptive until 1962.[L10439]","Norethisterone, taken in combination with intramuscular [leuprolide], is also indicated for the symptomatic treatment of endometriosis-related pain.[L10310]"
DB00718,"Adefovir dipivoxil, previously called bis-POM PMEA, with trade names Preveon and Hepsera, is an orally-administered acyclic nucleotide analog reverse transcriptase inhibitor (ntRTI) used for treatment of hepatitis B. It is ineffective against HIV-1. Adefovir dipivoxil is the diester prodrug of adefovir.","Indicated for the treatment of chronic hepatitis B in adult patients with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease; this is based on histological, virological, biochemical, and serological responses in adult patients with HBeAg+ and HBeAg- chronic hepatitis B with compensated liver function, and in adult patients with clinical evidence of lamivudine-resistant hepatitis B virus with either compensated or decompensated liver function."
DB00719,Antihistamines such as azatadine appear to compete with histamine for histamine H1- receptor sites on effector cells. The antihistamines antagonize those pharmacological effects of histamine which are mediated through activation of H1- receptor sites and thereby reduce the intensity of allergic reactions and tissue injury response involving histamine release.,"For the relief of the symptoms of upper respiratory mucosal congestion in perennial and allergic rhinitis, and for the relief of nasal congestion and eustachian t.b. congestion."
DB00720,Clodronic acid is a diphosphonate which affects calcium metabolism. It inhibits bone resorption and soft tissue calcification.,For the management of hypercalcemia of malignancy and as an adjunct in the management of osteolysis resulting from bone metastases of malignant tumors.
DB00721,"A local anesthetic of the ester type that has a slow onset and a short duration of action. It is mainly used for infiltration anesthesia, peripheral nerve block, and spinal block. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1016). Procaine has also been investigated as an oral entry inhibitor in treatment-experienced HIV patients [L1215].",Used as a local anesthetic primarily in oral surgery
DB00722,Lisinopril was granted FDA approval on 29 December 1987.[L8384],"Lisinopril is indicated for the treatment of acute myocardial infarction, hypertension in patients ¡Ý6 years, and as an adjunct therapy for heart failure.[L8384,L8387] A combination product with hydrochlorothiazide is indicated for the treatment of hypertension.[L8390]"
DB00723,An alpha-adrenergic agonist that causes prolonged peripheral vasoconstriction. It has little if any direct effect on the central nervous system.,Indicated for the treatment and management of hypotension.
DB00724,"Imiquimod is an immune response modifier that acts as a toll-like receptor 7 agonist. Imiquimod is commonly used topically to treat warts on the skin of the genital and anal areas. Imiquimod does not cure warts, and new warts may appear during treatment. Imiquimod does not fight the viruses that cause warts directly, however, it does help to relieve and control wart production. Miquimod is also used to treat a skin condition of the face and scalp called actinic keratoses and certain types of skin cancer called superficial basal cell carcinoma.","For the topical treatment of clinically typical, nonhyperkeratotic, nonhypertrophic actinic keratoses on the face or scalp in immunocompetent adults. Also indicated for the treatment of external genital and perianal warts/condyloma acuminata in individuals 12 years old and above."
